Date,User,Tweet,clean_tweets
2022-09-03 13:58:41+00:00,blessed me,@Murakariuki @AbsaKenya Migrate to @BankofAfrica_Ke . They send you the emails every end month without even request… https://t.co/3RlSBLgx82,Migrate . They send emails every end month without even request…
2022-09-03 13:57:49+00:00,Mura,@denkm7 @AbsaKenya I've always sought statements from other banks. They only charge if they print for you. I ask fo… https://t.co/oYWQfaTwOs,I've always sought statements banks. They charge print you. I ask fo…
2022-09-03 13:56:54+00:00,MOFFAT,"@Murakariuki @AbsaKenya And the funny part, I never actually checked my E-statements back then.","And funny part, I never actually checked E-statements back then."
2022-09-03 13:56:20+00:00,Mura,@BERNARDg32 @AbsaKenya I asked for pdf download. For reconciliation tu,I asked pdf download. For reconciliation tu
2022-09-03 13:53:30+00:00,oliver kips🇰🇪,@AbsaKenya @Murakariuki Why check out in private yet we know what you do nkt!,Why check private yet know nkt!
2022-09-03 13:53:20+00:00,MOFFAT,"@Murakariuki @AbsaKenya I literally switched from @AbsaKenya cause of all these fees. SMS alert fees, E-statement f… https://t.co/97EnIHFq0R","I literally switched cause fees. SMS alert fees, E-statement f…"
2022-09-03 13:51:33+00:00,Orina Orina,@Murakariuki @AbsaKenya You people have forgotten to mention the notorious KCB bank @KCBGroup,You people forgotten mention notorious KCB bank
2022-09-03 13:50:22+00:00,كوينتون كانوسا,@Murakariuki @AbsaKenya @AbsaKenya  let’s not even get to the SMS notifications which are free by other banks and t… https://t.co/WYXFD2YvYT,let’s even get SMS notifications free banks t…
2022-09-03 13:49:25+00:00,Morgan,@Murakariuki @AbsaKenya @Brookins_Kip come here,come
2022-09-03 13:49:21+00:00,kim,"@Murakariuki @AbsaKenya @Coopbankenya @StanbicKE @KeEquityBank If you want automated e statements it's free, but th… https://t.co/KF7CwypTv0","If want automated e statements free, th…"
2022-09-03 13:49:12+00:00,🚀 JIMMY 🇰🇪,"@Murakariuki @AbsaKenya @AbsaKenya has absurd fees!
Easier to sign up for Absa online and download the statements in PDF.",absurd fees! Easier sign Absa online download statements PDF.
2022-09-03 13:48:35+00:00,Bernard Gachiu,@Murakariuki @AbsaKenya Official certified statements often attract a charge.,Official certified statements often attract charge.
