Date,User,Tweet,clean_tweets
2022-09-03 12:58:24+00:00,Giddy,"@Safaricom_Care Safaricom, what's wrong? One guy calling me with all this numbers? I have reported the numbers but… https://t.co/OkFwHC0Duv","Safaricom, what's wrong? One guy calling numbers? I reported numbers but…"
2022-09-03 12:57:54+00:00,Safaricom Care,"@FeImuton Hello, what is the issue on your side?^PO","Hello, issue side?^PO"
2022-09-03 12:56:52+00:00,Safaricom Care,"@Moseskibira Hello, kindly inbox your reachable number for further assistance.^PO","Hello, kindly inbox reachable number assistance.^PO"
2022-09-03 12:56:45+00:00,Ospreys,Safaricom have decided to spam me with Bonga Points texts,Safaricom decided spam Bonga Points texts
2022-09-03 12:54:01+00:00,victor odero,@Safaricom_Care please check on your system am getting continuous tens of texts regarding my Bonhapoints balance,please check system getting continuous tens texts regarding Bonhapoints balance
2022-09-03 12:53:57+00:00,Moses Kibira,@Safaricom_Care the way forward is not moving forward why did you pay without my authorization,way forward moving forward pay without authorization
2022-09-03 12:52:51+00:00,Kenyan Business,"Safaricom has announced Ethiopia large scale customer pilot of its network in Harar region. 

It is currently also… https://t.co/yoKLfCRnJ7",Safaricom announced Ethiopia large scale customer pilot network Harar region. It currently also…
2022-09-03 12:52:48+00:00,Safaricom Care,"@Moseskibira Hello Moses. Apologies, our records show that we shared the way forward, kindly do so.^CQ","Hello Moses. Apologies, records show shared way forward, kindly so.^CQ"
2022-09-03 12:52:44+00:00,Moses Kibira,@Safaricom_Care Why do I have to be the one losing money for your mistakes. give me my money back,Why I one losing money mistakes. give money back
2022-09-03 12:51:06+00:00,Girum®🇪🇹,@kefira_dechatu @MeronTessema @PMEthiopia @alemayehuGeda @AyeleGelan Financial sector liberalis’n is expected post… https://t.co/zWFc0Fg0FU,Financial sector liberalis’n expected post…
2022-09-03 12:50:12+00:00,Messeret Addam,"@Gfasil @SafaricomET Surely, it will be a mass caravan from Ethiotelecom to Safaricom. Next will be banks . Weak do… https://t.co/k5MM0xzjJL","Surely, mass caravan Ethiotelecom Safaricom. Next banks . Weak do…"
2022-09-03 12:49:13+00:00,Safaricom Care,@JerryMarshall95 On it. ^YK,On it. ^YK
2022-09-03 12:45:58+00:00,Safaricom Care,"@sleekchadd Hello Chadwick, please check DM.^DE","Hello Chadwick, please check DM.^DE"
2022-09-03 12:45:53+00:00,Moses Kibira,"@Safaricom_Care, you paid out my money without authorization through my Mpese global now you are taking me in circl… https://t.co/s3IcCvxi1a",", paid money without authorization Mpese global taking circl…"
2022-09-03 12:45:33+00:00,Judy Nyagah,@Safaricom_Care,
2022-09-03 12:42:14+00:00,Safaricom Care,"@KaranjaMatindi Hi Karanja , you should not worry as we started sending weekly notifications to our customers about… https://t.co/3d42vc1KC0","Hi Karanja , worry started sending weekly notifications customers about…"
2022-09-03 12:41:09+00:00,ninja_in_yellow,@Safaricom_Care Any hopes of iPhones being VoLTE compatible soon ?,Any hopes iPhones VoLTE compatible soon ?
2022-09-03 12:39:18+00:00,Masibili,"@Safaricom_Care That was a threat, anyway ask Ms Mwongera to exercise some patience. Due to unavoidable conditions… https://t.co/x5UlVrcsO2","That threat, anyway ask Ms Mwongera exercise patience. Due unavoidable conditions…"
2022-09-03 12:38:15+00:00,Safaricom Care,"@Montana_mkuu Hi Montana, dial *544# then follow prompts to check your bundle balance. ^IZ","Hi Montana, dial *544# follow prompts check bundle balance. ^IZ"
2022-09-03 12:37:35+00:00,Chadwick Kendrick,"@Safaricom_Care @SafaricomPLC 
QI105VVH0G Confirmed. Ksh2,900.00 sent to Safaricom Home for account .....195 on 1/9… https://t.co/V9wYtw1NFm","QI105VVH0G Confirmed. Ksh2,900.00 sent Safaricom Home account .....195 1/9…"
2022-09-03 12:36:01+00:00,londoner,"@SafaricomPLC @Safaricom_Care how do you unlock free data ,what's the point of it being free in the first place","unlock free data ,what's point free first place"
2022-09-03 12:35:55+00:00,Safaricom Care,"@MikeNdiema Apologies Mike, please DM https://t.co/jF6LqBUAqM your phone number. ^AA","Apologies Mike, please DM phone number. ^AA"
2022-09-03 12:35:51+00:00,Safaricom Care,"@Tata_YaBana Hello @Tata_YaBana, sorry we do not threaten our customers. Our sincere apologies for the inconvenience.^OG","Hello , sorry threaten customers. Our sincere apologies inconvenience.^OG"
2022-09-03 12:35:03+00:00,Karanjawala Matindi #LindaKatiba 🇰🇪,"Dear @Safaricom_Care,

I keep getting unsolicited text messages about my bonga points account balance. Shld I be concerned? Many thanks.","Dear , I keep getting unsolicited text messages bonga points account balance. Shld I concerned? Many thanks."
2022-09-03 12:34:54+00:00,David Mjomba,@Safaricom_Care Compare with this. I expect this to have a forex charge and not the one I’ve quoted before https://t.co/kkIQaDzN9V,Compare this. I expect forex charge one I’ve quoted
2022-09-03 12:33:38+00:00,George N.e🇰🇪,Gadamn!#safaricom has made us proud everyday since its i.p.o!,Gadamn!#safaricom made us proud everyday since i.p.o!
2022-09-03 12:32:55+00:00,Mike Ndiema,"@Safaricom_Care this is customer harassment, having the ability doesn't give you the right. I wasn't even intereste… https://t.co/YJ15XdnpxE","customer harassment, ability give right. I even intereste…"
2022-09-03 12:31:17+00:00,Festus Imuton,Look at your DM @Safaricom_Care . Very urgent,Look DM . Very urgent
2022-09-03 12:30:01+00:00,John Fokisi,@Safaricom_Care What kind of a solution is this? It's you sending them....I bet you restart yours,What kind solution this? It's sending them....I bet restart
