Date,User,Tweet,clean_tweets
2022-09-04 14:39:49+00:00,The_Yazoo,"mfs be like ""this movie/show sucks"" then upload a clip of 'evidence' they recorded on a old ass nokia from their busted ass tv","mfs like ""this movie/show sucks"" upload clip 'evidence' recorded old ass nokia busted ass tv"
2022-09-04 14:39:09+00:00,𝐉🅴𝐬𝐬™ |,"@eucamiszz simm parar com esse achismo por causa da marca de celular, eu tenho um nokia e...","simm parar com esse achismo por causa da marca de celular, eu tenho um nokia e..."
2022-09-04 14:38:45+00:00,ひろ。,@stare35562 居合極めるぞ😡,居合極めるぞ😡
2022-09-04 14:38:31+00:00,ひろ。,"@destiny1808s 漫喫で読むのが1番丸い
他何読んどん？",漫喫で読むのが1番丸い 他何読んどん？
2022-09-04 14:38:27+00:00,21st century humor bot,*arabic nokia*,*arabic nokia*
2022-09-04 14:36:37+00:00,justcollince,"@laddyjeddy @OscarKemboi10 @7miles10 @_Kenyanjack Nop Samsung, Huawei and Nokia are the best. All companies works u… https://t.co/TSS9esfQ13","Nop Samsung, Huawei Nokia best. All companies works u…"
2022-09-04 14:36:29+00:00,🌙,"dulu hp kecil gue (nokia) isinya lagu2 kerispatih sm coboy junior. krn belom punya earphone, gue dengerin lgsg dr s… https://t.co/XQP7C0Ydf0","dulu hp kecil gue (nokia) isinya lagu2 kerispatih sm coboy junior. krn belom punya earphone, gue dengerin lgsg dr s…"
2022-09-04 14:36:07+00:00,Vakulya Róbert 🇭🇺🇪🇺🇺🇦,Nokia X 30 műszaki adatok: https://t.co/wGUf2YpSJG https://t.co/o9hrsnRvMC,Nokia X 30 műszaki adatok:
2022-09-04 14:34:15+00:00,Miguel Ángel,En España somos tan inútiles que no sabemos nada más que compramos lo que las operadoras tienen margen amplio  y la… https://t.co/MhuzqYWSUo,En España somos tan inútiles que sabemos nada más que compramos lo que las operadoras tienen margen amplio la…
2022-09-04 14:34:05+00:00,CHRIS LAIN,@scraftone @MonsieurGRrr Attendons le nokia pliant pour 2023,Attendons le nokia pliant pour 2023
2022-09-04 14:34:00+00:00,Daniel,"@Tochadas_01 Falta el más legendario, Nokia 1100, mi primer celular.","Falta el más legendario, Nokia 1100, mi primer celular."
2022-09-04 14:33:28+00:00,ً,gua waktu sd pake hp nokia apa ya 😭,gua waktu sd pake hp nokia apa ya 😭
2022-09-04 14:32:45+00:00,Ri¢h Trades,"I didn’t have a cellphone until I was 14… I had the Nokia and a blue 3-way pager.

My daughter is 4 with an iPhone… https://t.co/6HTBXnjTJ1",I didn’t cellphone I 14… I Nokia blue 3-way pager. My daughter 4 iPhone…
2022-09-04 14:30:45+00:00,ノキア Nokia Lee,"#カコジョ、いいえ
#アプリで女子化
#faceapp https://t.co/l9vXOsXpKO",#カコジョ、いいえ #アプリで女子化 #faceapp
2022-09-04 14:30:35+00:00,Mr Ashraf dakar,@TopiDrama_ Nokia📱📱📱😜😜😜,Nokia📱📱📱😜😜😜
2022-09-04 14:30:31+00:00,JeabNS - só JeabNS mesmo,Teddie está pogchamp após ganhar um nokia https://t.co/YOpvFucudn,Teddie está pogchamp após ganhar um nokia
2022-09-04 14:30:23+00:00,Phaminkhorrami,"@NokiamobBlog Us market does not accept late updates 
Im still on android 11 on nokia 5.4",Us market accept late updates Im still android 11 nokia 5.4
2022-09-04 14:30:17+00:00,Ce Jour-Là,"#CeJourLa 2013 : Nokia, numéro 1 du marché jusqu'en 2011, vend son activité de téléphonie mobile à Microsoft, pour… https://t.co/XANfu4sNZ5","#CeJourLa 2013 : Nokia, numéro 1 du marché jusqu'en 2011, vend son activité de téléphonie mobile à Microsoft, pour…"
2022-09-04 14:28:50+00:00,Larry Lowry,Nokia X6 Goes Out of Stock Within Seconds in First Sale. #smartphone #newstechnology https://t.co/ChlOcgAk8L https://t.co/C1KHWRtiM2,Nokia X6 Goes Out Stock Within Seconds First Sale. #smartphone #newstechnology
2022-09-04 14:27:52+00:00,Kenth Jensen,@DavidGustavsson Snake på en Nokia 3310. En klassiker.,Snake på en Nokia 3310. En klassiker.
2022-09-04 14:27:46+00:00,Mr. Big(E),Nekad su bili najbolji. Nekad su postavljali standarde. Sad su Nokia f1 https://t.co/b1ZEpFVUK0,Nekad su bili najbolji. Nekad su postavljali standarde. Sad su Nokia f1
2022-09-04 14:26:53+00:00,Celonis,"The Celonis Academic Alliance helps train students for a future in process mining. 

Students like Catarina, Lorenz… https://t.co/5mC5sSOtog","The Celonis Academic Alliance helps train students future process mining. Students like Catarina, Lorenz…"
2022-09-04 14:26:49+00:00,Vakulya Róbert 🇭🇺🇪🇺🇺🇦,"@iamdtms Töltő lesz benne, itt a műszaki adatok:  https://t.co/wGUf2YpSJG","Töltő lesz benne, itt műszaki adatok:"
2022-09-04 14:26:00+00:00,アグレ,barudak melodic nokia xpress music https://t.co/q8QL7Vs8Hl,barudak melodic nokia xpress music
2022-09-04 14:25:30+00:00,Alex,@CursedrblxMemes I play Roblox on a Nokia https://t.co/yWIg0Wa1f3,I play Roblox Nokia
