Date,User,Tweet,clean_tweets
2022-09-04 14:47:03+00:00,밤🌃 still went home to jaehyun 🍑,I SWEAR SAMSUNG USERS EARLIER AR THE CINCERT HAD THE BEST FANCAMS EVEN IF THEY'RE NOT IN THE VIP SECTION!!!!! https://t.co/Mf4pipZVE3,I SWEAR SAMSUNG USERS EARLIER AR THE CINCERT HAD THE BEST FANCAMS EVEN IF THEY'RE NOT IN THE VIP SECTION!!!!!
2022-09-04 14:47:03+00:00,Ari Was Born Pink♥︎ || Missing Mashidam~♡,"What is your phone brand? 

Mine Samsung",What phone brand? Mine Samsung
2022-09-04 14:46:54+00:00,Louis Cammell,lunchtimes at Samsung HQ https://t.co/DTAigp3an8 https://t.co/N6CoSLoyLB,lunchtimes Samsung HQ
2022-09-04 14:46:52+00:00,austen,"@Askrlfess Ingat gesss ngikutin gengsi + fomo cuman bikin capek hati, pikiran dan duit lhoo nderrr dah bodo amatt.… https://t.co/mXE6EHjvZl","Ingat gesss ngikutin gengsi + fomo cuman bikin capek hati, pikiran dan duit lhoo nderrr dah bodo amatt.…"
2022-09-04 14:46:50+00:00,Preispirat,Samsung Galaxy S21 FE mit CHF 150.- Cashback und 75 MediaMarkt Gutschein für eff. 374 Franken https://t.co/7Cpgz35Jdp,Samsung Galaxy S21 FE mit CHF 150.- Cashback und 75 MediaMarkt Gutschein für eff. 374 Franken
2022-09-04 14:46:44+00:00,SYG,@ATT @SamsungMobileUS @Mistfi777  I 💙 Samsung! #ATTSweepstakes,I 💙 Samsung! #ATTSweepstakes
2022-09-04 14:46:43+00:00,Shopsyplannet,"Samsung 27-inch(68.4cm) Odyssey G7 Gaming, 240 Hz, 1ms, 2K, Curved Monitor, HAS, WQHD, QLED, HDR600, G-Sync Compati… https://t.co/PqOgOW3NA0","Samsung 27-inch(68.4cm) Odyssey G7 Gaming, 240 Hz, 1ms, 2K, Curved Monitor, HAS, WQHD, QLED, HDR600, G-Sync Compati…"
2022-09-04 14:46:42+00:00,GYAN UJALA,"Samsung 27-inch(68.4cm) Odyssey G7 Gaming, 240 Hz, 1ms, 2K, Curved Monitor, HAS, WQHD, QLED, HDR600, G-Sync Compati… https://t.co/1FRZHKLZ6M","Samsung 27-inch(68.4cm) Odyssey G7 Gaming, 240 Hz, 1ms, 2K, Curved Monitor, HAS, WQHD, QLED, HDR600, G-Sync Compati…"
2022-09-04 14:46:41+00:00,💙아➡️이↘️고⬆️💙⁸²⁵,@ncitybase_ Samsung S22 semakinnnnnnn pengen beli 😭😭😭 tapi tabunganku baru 20rb,Samsung S22 semakinnnnnnn pengen beli 😭😭😭 tapi tabunganku baru 20rb
2022-09-04 14:46:39+00:00,Tech Swami (Aman Nayyar),@JITENDR44794493 Bro mene ajtak jitne use kie muje prob nhi ayi he... See problem sb brands me he... Inki x series… https://t.co/XiFefoi4aK,Bro mene ajtak jitne use kie muje prob nhi ayi he... See problem sb brands he... Inki x series…
